"Partlist exported " "from Centro de Fusion: Christian_U Proyecto: PCB_SMD Placa: " "SMD_V1 v116 at 7/6/2025 0:18"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
"Qty Value         " "   Device                           Package                 " "   Parts                                                                                                                      " "Description                   " "                   " "CATEGORY        " "CELL_DIAMETER " "COLOR " "CONTACTS " "CURRENT_RATING " "DATASHEET                                                                                                 " "DESCRIPTION        " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "FORWARD_CURRENT " "FORWARD_VOLTAGE " "GENDER     " "MANUFACTURER " "            " "          " "MATERIAL_CORE " "MPN           " "OPERATING_TEMP " "OPERATING_TEMPERATURE " "PACKAGE_SIZE " "PACKAGE_TYPE  " "PART_STATUS " "PITCH            "  "RATING " "REVERSE_VOLTAGE " "ROHS      " "ROHS_COMPLIANT " "SERIES " "SUB-CATEGORY " "SUBCATEGORY             " "TEMPERATURE_COEFFICIENT " "THERMALLOSS " "TOLERANCE " "TYPE    " "            " "              " "     " "VOLTAGE_RATING " "ZENER_VOLTAGE" 
"1   100k          " "   RESISTOR__CHIP-2512(6332-METRIC) RESC6332X71             " "   R2                                                                                                                         " "Resistor Fixed - Generic      " "                   " "Resistor        " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "Fixed        " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"3   100nF         " "   CAPACITORCERAMIC-2.54MM          CAP-THRU-2.54MM         " "   C1, C7, C9                                                                                                                 " "Capacitor - Generic           " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"5   100nF         " "   C_CHIP-0603(1608-METRIC)         CAPC1608X85             " "   C13, C15, C16, C18, C19                                                                                                    " "Capacitor - Generic           " "                   " "Capacitor       " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " 603             "Surface Mount " "            " "                 "  "       " "                " "          " "               " "       " "             " "Ceramic Capacitors      " "                        " "            " "          " "MLCC    " "            " "              " "     " "               " "             " 
"2   100uF         " "   CAPACITOR-POLRADIAL-5MM-DIA      CAPPRD254W65D500H1150B  " "   C5, C6                                                                                                                     " "Capacitor Polarised - Generic " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"2   10k           " "   RESISTOR__CHIP-1206(3216-METRIC) RESC3216X70             " "   R18, R19                                                                                                                   " "Resistor Fixed - Generic      " "                   " "Resistor        " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "Fixed        " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   10nF          " "   CAPACITORCERAMIC-2.54MM          CAP-THRU-2.54MM         " "   C11                                                                                                                        " "Capacitor - Generic           " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"2   10uF          " "   CAPACITOR-POLRADIAL-5MM-DIA      CAPPRD254W65D500H1150B  " "   C2, C3                                                                                                                     " "Capacitor Polarised - Generic " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   10uF          " "   C_CHIP-1206(3216-METRIC)         CAPC3216X135            " "   C17                                                                                                                        " "Capacitor - Generic           " "                   " "Capacitor       " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " 1206            "Surface Mount " "            " "                 "  "       " "                " "          " "               " "       " "             " "Ceramic Capacitors      " "                        " "            " "          " "MLCC    " "            " "              " "     " "               " "             " 
"1   12401832E402A " "   12401832E402A                    12401832E402A           " "   USB-C                                                                                                                      " "USB(3.1) Type-C- RCPT- 24POS- " "SMD-THT-R/A        " "USB Connector   " "              " "      " 24          "5A             " "https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_3_2_type_c.pdf " "USB-C (USB TYPE-C) " "USB " "3.2 " "Gen " 2    "(USB " "3.1 " "Gen " "2- " "Superspeed " "+ " "(USB " "3.1)) " "Receptacle " "Connector " 24    "Position " "Surface " "Mount- " "Right " "Angle- " "Through " "Hole " "                " "                " "Receptacle " "Amphenol ICC " "(Commercial " "Products) " "              " "12401832E402A " "               " "-40? ~ 85?            " "NA           " "SMD           " "ACTIVE      " "                 "  "       " "                " "COMPLIANT " "               " "NA     " "             " "USB TYPE-C              " "                        " "            " "          " "Surface " "Mount-Right " "Angle-Through " "Hole " "NA             " "             " 
"2   12uF          " "   CAPACITOR-POLRADIAL-5MM-DIA      CAPPRD254W65D500H1150B  " "   C8, C12                                                                                                                    " "Capacitor Polarised - Generic " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
